threshold,face_index,distance,is_same_person,will_mosaic
0.35,0,0.7696409546522995,False,True
0.35,1,0.5969209769097814,False,True
0.35,2,0.8547971114135386,False,True
0.35,3,0.38055309560770045,False,True
0.35,4,0.42586085332545154,False,True
0.39999999999999997,0,0.7696409546522995,False,True
0.39999999999999997,1,0.5969209769097814,False,True
0.39999999999999997,2,0.8547971114135386,False,True
0.39999999999999997,3,0.38055309560770045,True,False
0.39999999999999997,4,0.42586085332545154,False,True
0.44999999999999996,0,0.7696409546522995,False,True
0.44999999999999996,1,0.5969209769097814,False,True
0.44999999999999996,2,0.8547971114135386,False,True
0.44999999999999996,3,0.38055309560770045,True,False
0.44999999999999996,4,0.42586085332545154,True,False
0.49999999999999994,0,0.7696409546522995,False,True
0.49999999999999994,1,0.5969209769097814,False,True
0.49999999999999994,2,0.8547971114135386,False,True
0.49999999999999994,3,0.38055309560770045,True,False
0.49999999999999994,4,0.42586085332545154,True,False
0.5499999999999999,0,0.7696409546522995,False,True
0.5499999999999999,1,0.5969209769097814,False,True
0.5499999999999999,2,0.8547971114135386,False,True
0.5499999999999999,3,0.38055309560770045,True,False
0.5499999999999999,4,0.42586085332545154,True,False
0.5999999999999999,0,0.7696409546522995,False,True
0.5999999999999999,1,0.5969209769097814,True,False
0.5999999999999999,2,0.8547971114135386,False,True
0.5999999999999999,3,0.38055309560770045,True,False
0.5999999999999999,4,0.42586085332545154,True,False
