threshold,total_faces,same_person_count,diff_person_count,avg_distance,min_distance,max_distance
0.45,6,1,5,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.47000000000000003,6,1,5,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.49000000000000005,6,1,5,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.51,6,1,5,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.53,6,2,4,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.55,6,4,2,0.5691432419634471,0.3542803801664207,0.8732518490860856
0.5700000000000001,6,4,2,0.5691432419634471,0.3542803801664207,0.8732518490860856
